G,PTS,TRB,AST,PER,WS,Name,AS,AllDefensive,AllNBA,AllRookie,FG,FG3,FT,NBAChamp,eFG,MVP,ROY,ASMVP,FinalsMVP,ScoringChamp,DefPOY,STLChamp,MostImproved,ASTChamp,BLKChamp,TRBChamp,SixthMan,Target
713.0,18.2,11.1,2.4,21.6,82.0,Kevin Love,5.0,0.0,2.0,1.0,44.2,37.0,82.8,1.0,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,All Star
468.0,11.7,11.0,1.4,21.5,62.9,Rudy Gobert,1.0,3.0,2.0,0.0,64.0,0.0,62.9,0.0,64.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,All Time Great
218.0,17.2,5.9,2.2,16.7,18.3,Jayson Tatum,1.0,0.0,0.0,1.0,45.6,39.9,82.7,0.0,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
875.0,9.5,10.8,0.9,18.6,88.7,DeAndre Jordan,1.0,2.0,3.0,0.0,66.9,9.1,47.4,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Once in a Generation
1224.0,9.7,3.0,1.7,12.8,73.1,Kyle Korver,1.0,0.0,0.0,0.0,44.2,42.9,87.6,0.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
317.0,17.5,3.7,5.3,16.4,8.4,D'Angelo Russell,1.0,0.0,0.0,1.0,42.0,35.6,77.2,0.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
1258.0,27.1,7.4,7.4,27.5,236.1,LeBron James,16.0,6.0,15.0,1.0,50.4,34.4,73.5,3.0,54.2,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
846.0,14.0,8.3,3.3,18.7,90.7,Al Horford,5.0,1.0,1.0,1.0,52.0,36.1,75.4,0.0,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
599.0,14.5,13.8,1.3,22.1,60.6,Andre Drummond,2.0,0.0,1.0,1.0,54.2,14.6,46.1,0.0,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,All Time Great
219.0,22.7,4.1,4.0,17.5,15.4,Donovan Mitchell,1.0,0.0,0.0,1.0,44.0,35.5,82.1,0.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
